player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Aaron Mooy,MF,Australia,32-094,1990,4,9,6,4,4,1,6,8,75,2,6,4,2,3,12,9,0
Aaron Ramsey,MF,Wales,31-357,1990,3,2,0,0,2,0,0,2,0,2,4,1,3,0,2,2,1
Abdelkarim Hassan,DF,Qatar,29-112,1993,3,7,3,5,2,0,3,4,75,1,3,1,2,1,8,5,0
Abdou Diallo,DF,Senegal,26-228,1996,3.7,2,2,2,0,0,2,2,100,0,1,1,0,1,3,10,0
Abdulaziz Hatem,MF,Qatar,32-051,1990,2.2,1,1,0,0,1,1,2,50,1,0,0,0,1,2,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,2,1,0,1,0,0,0,1,0,1,2,1,1,4,5,10,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,1.9,3,1,3,0,0,1,3,33.3,2,3,0,3,2,5,4,1
Achraf Hakimi,DF,Morocco,24-044,1998,7,26,17,15,10,1,17,28,60.7,11,7,1,6,9,35,12,0
Adrien Rabiot,MF,France,27-259,1995,5.4,12,9,4,6,2,4,7,57.1,3,11,2,9,10,22,6,0
Ahmad Nourollahi,MF,IR Iran,29-319,1993,2.5,4,3,1,1,2,1,2,50,1,3,0,3,6,10,8,0
Akram Afif,FW,Qatar,26-030,1996,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Aleksandar MitroviÄ‡,FW,Serbia,28-093,1994,2.9,1,0,0,0,1,1,1,100,0,1,0,1,0,1,1,0
Alexis Mac Allister,MF,Argentina,23-359,1998,6.1,9,4,3,5,1,4,7,57.1,3,13,1,12,3,12,6,0
Alexis Vega,FW,Mexico,25-023,1997,2.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
Ali Abdi,DF,Tunisia,28-363,1993,2.1,8,5,5,2,1,3,3,100,0,1,0,1,4,12,13,1
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,1989,2.4,4,2,2,2,0,2,4,50,2,1,1,0,3,7,1,0
Ali Gholizadeh,MF,IR Iran,26-283,1996,2.2,0,0,0,0,0,0,2,0,2,5,0,5,3,3,2,0
Alidu Seidu,DF,Ghana,22-197,2000,1.7,6,4,5,1,0,2,2,100,0,5,0,5,0,6,3,0
Alistair Johnston,DF,Canada,24-071,1998,3,5,3,5,0,0,2,7,28.6,5,6,1,5,2,7,4,0
Almoez Ali,FW,Qatar,26-121,1996,2.5,1,0,0,0,1,0,2,0,2,0,0,0,1,2,1,0
Alphonso Davies,MF,Canada,22-046,2000,3,2,1,0,1,1,0,1,0,1,5,0,5,3,5,1,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,1995,2.9,4,0,3,0,1,1,3,33.3,2,2,0,2,5,9,2,0
Andreas Christensen,DF,Denmark,26-252,1996,3,4,2,1,3,0,2,2,100,0,7,5,2,4,8,9,0
Andrej KramariÄ‡,FW,Croatia,31-182,1991,5.3,3,2,0,1,2,0,1,0,1,6,0,6,0,3,0,0
Andrija Å½ivkoviÄ‡,DF,Serbia,26-160,1996,2.3,5,3,2,2,1,2,3,66.7,1,5,0,5,3,8,3,0
AndrÃ© Ayew,MF,Ghana,33-001,1989,2.2,4,1,0,4,0,1,2,50,1,1,0,1,0,4,3,0
Anis Ben Slimane,MF,Tunisia,21-277,2001,1.6,3,1,2,1,0,0,0,,0,2,0,2,1,4,1,0
Antoine Griezmann,MF,France,31-272,1991,6,14,8,9,5,0,3,5,60,2,8,3,5,8,22,7,0
Antonee Robinson,DF,United States,25-132,1997,4,5,4,5,0,0,3,7,42.9,4,3,0,3,7,12,8,0
Antonio RÃ¼diger,DF,Germany,29-290,1993,3,2,1,1,1,0,0,0,,0,3,2,1,0,2,5,1
Assim Madibo,MF,Qatar,26-057,1996,1.7,6,3,3,3,0,1,5,20,4,6,1,5,2,8,0,0
Atiba Hutchinson,MF,Canada,39-313,1983,1.8,4,1,4,0,0,2,2,100,0,3,0,3,1,5,3,0
AurÃ©lien TchouamÃ©ni,MF,France,22-325,2000,6.9,11,4,4,6,1,3,7,42.9,4,3,1,2,14,25,6,0
Axel Witsel,MF,Belgium,33-340,1989,3,4,2,1,3,0,1,1,100,0,5,1,4,4,8,6,0
Aymeric Laporte,DF,Spain,28-205,1994,3.3,2,0,2,0,0,1,1,100,0,0,0,0,3,5,7,0
Aziz Behich,DF,Australia,32-002,1990,4,8,3,5,3,0,5,6,83.3,1,6,2,4,3,11,12,0
Azzedine Ounahi,MF,Morocco,22-243,2000,6.3,9,8,4,5,0,7,9,77.8,2,5,1,4,7,16,2,0
AÃ¯ssa LaÃ¯douni,MF,Tunisia,26-005,1996,2.7,3,3,3,0,0,1,2,50,1,7,1,6,4,7,6,0
Baba Rahman,DF,Ghana,28-169,1994,2,5,3,1,2,2,3,3,100,0,1,0,1,1,6,3,1
Bartosz BereszyÅ„ski,DF,Poland,30-159,1992,3.8,6,2,6,0,0,3,6,50,3,4,1,3,2,8,17,0
Ben Davies,DF,Wales,29-238,1993,2.6,4,2,0,2,2,2,2,100,0,4,2,2,1,5,8,1
Bernardo Silva,MF,Portugal,28-130,1994,4,2,2,0,2,0,1,1,100,0,3,0,3,2,4,0,0
Borna Sosa,DF,Croatia,24-331,1998,4.7,14,6,9,3,2,10,12,83.3,2,4,0,4,2,16,18,0
Boualem Khoukhi,DF,Qatar,32-162,1990,3,2,2,2,0,0,1,2,50,1,6,2,4,3,5,18,1
