player,team,age,birth_year,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90
Rodri,Spain,26-179,1996,642,689,93.2,12636,3349,172,180,95.6,416,435,95.6,50,68,73.5,0,0.2,0.2,-0.2,4,46,2,1,25,1,0,0,0.23,0
NicolÃ¡s Otamendi,Argentina,34-309,1988,532,577,92.2,8827,2912,236,250,94.4,266,284,93.7,25,35,71.4,1,0.2,0.2,0.8,2,20,0,0,22,1,0,0,0.13,0
Rodrigo De Paul,Argentina,28-208,1994,470,562,83.6,6959,1454,281,306,91.8,164,192,85.4,18,38,47.4,0,0.3,0.4,-0.3,7,35,7,1,18,7,3,42.9,1.05,0.45
Marcelo BrozoviÄ‡,Croatia,30-032,1992,466,530,87.9,7429,1726,253,279,90.7,151,167,90.4,48,54,88.9,0,0.2,0.2,-0.2,5,31,1,0,25,4,2,50,0.65,0.33
Luka ModriÄ‡,Croatia,37-100,1985,465,551,84.4,7825,2857,229,244,93.9,173,202,85.6,45,71,63.4,0,0.7,0.8,-0.7,6,51,10,3,61,6,4,66.7,0.83,0.55
JoÅ¡ko Gvardiol,Croatia,20-329,2002,464,519,89.4,8363,3112,195,204,95.6,224,244,91.8,39,58,67.2,0,0,0.3,0,1,26,1,0,17,2,1,50,0.26,0.13
John Stones,England,28-204,1994,435,454,95.8,8447,2913,152,156,97.4,231,235,98.3,48,58,82.8,0,0.1,0.1,-0.1,1,20,0,0,22,4,1,25,0.83,0.21
AurÃ©lien TchouamÃ©ni,France,22-325,2000,426,474,89.9,7467,1889,185,198,93.4,204,219,93.2,31,43,72.1,0,1,0.4,-1,6,48,3,0,37,6,2,33.3,0.87,0.29
Mateo KovaÄiÄ‡,Croatia,28-226,1994,415,460,90.2,6213,1384,236,250,94.4,144,156,92.3,21,31,67.7,0,1,1.2,-1,9,47,7,0,31,3,1,33.3,0.43,0.14
Aymeric Laporte,Spain,28-205,1994,413,438,94.3,7612,2489,120,122,98.4,272,281,96.8,17,28,60.7,0,0,0.1,0,1,26,2,0,14,1,0,0,0.3,0
Enzo FernÃ¡ndez,Argentina,21-335,2001,412,471,87.5,6634,1695,208,229,90.8,159,177,89.8,32,44,72.7,1,0.9,0.8,0.1,6,43,9,1,24,8,3,37.5,1.28,0.48
Dejan Lovren,Croatia,33-166,1989,405,460,88,7863,2519,137,150,91.3,219,235,93.2,44,65,67.7,1,0,0.1,1,1,14,1,1,16,4,0,0,0.6,0
Pedri,Spain,20-023,2002,393,434,90.6,7400,1439,160,168,95.2,175,185,94.6,52,58,89.7,0,0.8,0.9,-0.8,5,71,6,0,33,0,0,0,0,0
Harry Maguire,England,29-288,1993,354,407,87,7329,2340,99,109,90.8,212,224,94.6,43,68,63.2,1,0,0.1,1,1,23,1,0,19,6,1,16.7,1.26,0.21
Marquinhos,Brazil,28-218,1994,352,368,95.7,6124,1913,139,140,99.3,197,204,96.6,12,18,66.7,0,0.8,1.1,-0.8,4,36,3,1,18,2,0,0,0.42,0
Cristian Romero,Argentina,24-235,1998,337,375,89.9,5417,2109,175,187,93.6,137,150,91.3,21,30,70,0,0,0,0,0,12,0,0,11,0,0,0,0,0
Luke Shaw,England,27-159,1995,335,400,83.8,5392,1662,165,179,92.2,144,159,90.6,20,41,48.8,1,0.8,0.9,0.2,8,23,9,4,31,3,1,33.3,0.64,0.21
Jordi Alba,Spain,33-272,1989,328,372,88.2,5403,1384,160,174,92,144,157,91.7,20,28,71.4,2,0.9,0.7,1.1,5,33,7,2,23,2,0,0,0.68,0
Frenkie de Jong,Netherlands,25-220,1997,323,364,88.7,5030,1254,178,198,89.9,121,128,94.5,19,25,76,1,0.2,0.4,0.8,4,23,2,1,17,2,1,50,0.38,0.19
Thiago Silva,Brazil,38-087,1984,322,344,93.6,6145,2410,115,120,95.8,174,181,96.1,32,39,82.1,1,0.9,0.6,0.1,4,15,3,1,15,2,0,0,0.46,0
Josip JuranoviÄ‡,Croatia,27-124,1995,318,405,78.5,4928,1748,183,195,93.8,101,133,75.9,24,47,51.1,1,0.3,0.3,0.7,7,24,6,4,21,1,0,0,0.15,0
Nathan AkÃ©,Netherlands,27-303,1995,315,349,90.3,5204,1703,154,165,93.3,138,144,95.8,20,33,60.6,0,0,0.1,0,0,29,1,0,19,0,0,0,0,0
Dayot Upamecano,France,24-052,1998,314,351,89.5,6831,2194,83,88,94.3,172,179,96.1,55,74,74.3,0,0.1,0.1,-0.1,2,28,0,0,19,1,0,0,0.19,0
Achraf Hakimi,Morocco,24-044,1998,312,382,81.7,4121,1792,207,232,89.2,63,80,78.8,19,32,59.4,1,0.5,0.6,0.5,6,14,6,5,10,4,1,25,0.57,0.14
Virgil van Dijk,Netherlands,31-163,1991,311,356,87.4,6371,2470,94,102,92.2,179,194,92.3,38,57,66.7,0,0.1,0.1,-0.1,2,7,1,0,15,3,0,0,0.56,0
Lionel Messi,Argentina,35-177,1987,301,372,80.9,4538,1554,171,183,93.4,93,110,84.5,27,47,57.4,3,2.5,2,0.5,21,38,18,0,49,27,13,48.1,3.52,1.7
Declan Rice,England,23-338,1999,300,322,93.2,5456,1141,124,125,99.2,143,155,92.3,29,34,85.3,0,0,0.1,0,1,18,2,0,14,0,0,0,0,0
Nahuel Molina,Argentina,24-256,1998,291,358,81.3,3905,1347,188,221,85.1,77,94,81.9,16,23,69.6,1,0.3,0.3,0.7,3,17,3,1,11,2,1,50,0.32,0.16
Theo HernÃ¡ndez,France,25-073,1997,289,339,85.3,4672,1347,156,169,92.3,105,119,88.2,25,39,64.1,2,1.2,1,0.8,11,23,7,5,16,5,2,40,0.89,0.35
JurriÃ«n Timber,Netherlands,21-184,2001,283,313,90.4,4444,1337,144,151,95.4,116,126,92.1,18,29,62.1,0,0,0.1,0,0,32,0,0,15,0,0,0,0,0
Sofyan Amrabat,Morocco,26-119,1996,269,322,83.5,4620,1365,114,129,88.4,123,136,90.4,24,36,66.7,0,0.1,0.1,-0.1,2,10,1,0,16,1,0,0,0.14,0
Sergio Busquets,Spain,34-155,1988,261,289,90.3,4222,1044,124,136,91.2,111,118,94.1,16,20,80,0,0.1,0.2,-0.1,3,31,3,0,17,2,0,0,0.5,0
Antoine Griezmann,France,31-272,1991,258,329,78.4,4905,1377,123,135,91.1,89,112,79.5,42,66,63.6,3,3.1,3.6,-0.1,21,26,10,5,19,6,2,33.3,1.01,0.34
RaphaÃ«l Varane,France,29-237,1993,256,286,89.5,5127,1468,78,85,91.8,155,162,95.7,23,38,60.5,0,0,0,0,0,20,0,0,5,3,0,0,0.52,0
Bernardo Silva,Portugal,28-130,1994,256,292,87.7,4147,777,143,153,93.5,87,92,94.6,20,30,66.7,0,0.4,0.3,-0.4,5,16,1,0,12,1,0,0,0.25,0
Jules KoundÃ©,France,24-036,1998,252,311,81,4123,1291,128,137,93.4,99,122,81.1,21,28,75,0,0.1,0.1,-0.1,1,25,0,0,6,4,1,25,0.75,0.19
Daley Blind,Netherlands,32-284,1990,252,300,84,4293,1503,132,153,86.3,91,102,89.2,26,40,65,1,0.5,0.4,0.5,2,25,4,2,21,5,2,40,1.06,0.43
Ã‰der MilitÃ£o,Brazil,24-334,1998,251,277,90.6,4346,1514,112,115,97.4,111,122,91,21,31,67.7,0,0,0.1,0,1,20,1,1,12,5,1,20,1.3,0.26
